trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
276,False,"{'a': 0.4, 'e': 0.003787885922396659}",30,0,50.06664408673048,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
277,False,"{'a': 0.4, 'e': 0.003712128203948726}",25,6,32.73658320143181,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.4, 'e': 0.0036378856398697514}",25,15,19.86350540103897,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.4, 'e': 0.0035651279270723563}",30,12,28.930569172215318,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.4, 'e': 0.0034938253685309092}",25,11,21.26438398398275,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.4, 'e': 0.003423948861160291}",25,8,26.07592430508381,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.4, 'e': 0.0033554698839370852}",20,13,11.085143851063838,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.4, 'e': 0.0032883604862583436}",30,18,22.88328984555214,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.4, 'e': 0.0032225932765331767}",25,15,17.85184474781101,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.4, 'e': 0.003158141411002513}",20,11,18.90386559407229,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.4, 'e': 0.003094978582782463}",20,8,23.07392700572217,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.4, 'e': 0.0030330790111268136}",20,8,24.125557728371543,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.4, 'e': 0.0029724174309042773}",20,6,21.10273050998488,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.4, 'e': 0.002912969082286192}",20,10,16.04437258286495,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.4, 'e': 0.002854709700640468}",20,8,19.967270835591663,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.4, 'e': 0.0027976155066276585}",20,11,17.057513877717952,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.4, 'e': 0.0027416631964951054}",25,0,22.83828322399913,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
293,False,"{'a': 0.4, 'e': 0.0026868299325652034}",25,7,31.032604876042377,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.4, 'e': 0.002633093333913899}",20,4,22.671496348718932,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.4, 'e': 0.002580431467235621}",30,15,17.175783911774467,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
296,False,"{'a': 0.4, 'e': 0.0025288228378909086}",20,15,3.012853593770115,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.4, 'e': 0.0024782463811330903}",25,18,-29.66393057421012,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
298,False,"{'a': 0.4, 'e': 0.0024286814535104282}",20,12,15.570037721229385,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.4, 'e': 0.0023801078244402194}",25,1,34.027215464369675,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.4, 'e': 0.002332505667951415}",20,1,36.263551123128394,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.4, 'e': 0.0022858555545923866}",20,11,18.036426186781878,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.4, 'e': 0.002240138443500539}",25,11,14.528509882630264,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.4, 'e': 0.002195335674630528}",20,7,20.038624043073167,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.4, 'e': 0.0021514289611379175}",20,8,22.741343386525383,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.4, 'e': 0.002108400381915159}",20,7,23.91734689301058,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.4, 'e': 0.002066232374276856}",25,10,29.48402250372367,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.4, 'e': 0.002024907726791319}",20,10,15.696130875319543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.4, 'e': 0.0019844095722554925}",25,10,24.879175135621356,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.4, 'e': 0.0019447213808103825}",20,12,15.194569560440897,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.4, 'e': 0.0019058269531941749}",20,0,14.642634600673205,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
311,False,"{'a': 0.4, 'e': 0.0018677104141302913}",25,0,39.5227878328574,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
312,False,"{'a': 0.4, 'e': 0.0018303562058476855}",20,11,3.9340504595093653,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
313,False,"{'a': 0.4, 'e': 0.0017937490817307316}",25,14,-24.183046347805004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
314,False,"{'a': 0.4, 'e': 0.001757874100096117}",25,19,11.216472203821688,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
